entry_id,code,role
0,111110,examples
1,111120,examples
2,111120,validation
3,111120,examples
4,111120,training
5,111120,training
6,111120,training
7,111120,test
8,111120,validation
9,111130,examples
10,111130,validation
11,111130,examples
12,111130,training
13,111130,training
14,111130,test
15,111140,examples
16,111150,training
17,111150,examples
18,111160,examples
19,111191,examples
20,111199,validation
21,111199,test
22,111199,examples
23,111199,validation
24,111199,training
25,111199,training
26,111199,examples
27,111199,training
28,111211,training
29,111211,test
30,111211,training
31,111211,examples
32,111211,validation
33,111219,examples
34,111219,examples
35,111219,examples
36,111219,examples
37,111219,training
38,111219,test
39,111219,examples
40,111219,test
41,111219,training
42,111219,training
43,111219,training
44,111219,training
45,111219,test
46,111219,validation
47,111219,examples
48,111219,validation
49,111219,training
50,111219,examples
51,111219,validation
52,111219,test
53,111219,training
54,111219,test
55,111219,test
56,111219,examples
57,111219,test
58,111219,training
59,111219,validation
60,111219,examples
61,111219,examples
62,111219,examples
63,111219,validation
64,111219,training
65,111219,training
66,111219,examples
67,111219,training
68,111219,test
69,111219,test
70,111219,training
71,111219,validation
72,111219,validation
73,111219,training
74,111219,examples
75,111219,training
76,111219,examples
77,111219,examples
78,111219,validation
79,111219,examples
80,111219,validation
81,111219,examples
82,111219,validation
83,111219,training
84,111219,validation
85,111219,test
86,111219,training
87,111219,examples
88,111219,training
89,111219,training
90,111219,training
91,111219,validation
92,111219,validation
93,111219,examples
94,111219,training
95,111219,examples
96,111219,training
97,111219,training
98,111219,training
99,111219,training
100,111310,examples
101,111320,training
102,111320,examples
103,111320,training
104,111320,validation
105,111320,training
106,111320,examples
107,111320,test
108,111331,examples
109,111332,examples
110,111332,training
111,111333,examples
112,111334,training
113,111334,examples
114,111334,test
115,111334,training
116,111334,validation
117,111334,validation
118,111334,examples
119,111334,examples
120,111334,examples
121,111334,test
122,111334,training
123,111334,training
124,111335,examples
125,111335,examples
126,111335,training
127,111335,test
128,111335,training
129,111335,training
130,111335,training
131,111335,validation
132,111335,examples
133,111335,validation
134,111336,examples
135,111339,validation
136,111339,test
137,111339,training
138,111339,training
139,111339,training
